Value,Disaggregation combinations using this value,Number of indicators
"data.Abbotsford - Mission, British Columbia",3,2
data.Alberta,758,21
data.Atlantic,120,1
"data.Barrie, Ontario",3,2
"data.Belleville, Ontario",3,2
"data.Brantford, Ontario",3,2
data.British Columbia,880,22
"data.Calgary, Alberta",3,2
data.Canada,1285,21
"data.Edmonton, Alberta",3,2
"data.Greater Sudbury / Grand Sudbury, Ontario",3,2
"data.Guelph, Ontario",3,2
"data.Halifax, Nova Scotia",3,2
"data.Hamilton, Ontario",3,2
"data.Kelowna, British Columbia",3,2
"data.Kingston, Ontario",3,2
"data.Kitchener - Cambridge - Waterloo, Ontario",3,2
"data.Lethbridge, Alberta",3,2
"data.London, Ontario",3,2
data.Manitoba,758,21
"data.Moncton, New Brunswick",3,2
"data.Montr�al, Quebec",1,1
"data.Montreal, Quebec",2,1
data.National marine,1,1
data.National terrestrial,1,1
data.New Brunswick,758,21
data.Newfoundland and Labrador,758,21
data.Northwest Territories,407,13
data.Nova Scotia,758,21
data.Nunavut,405,12
data.Ontario,879,22
"data.Oshawa, Ontario",3,2
"data.Ottawa - Gatineau (Ontario part), Ontario",3,2
"data.Ottawa - Gatineau (Quebec part), Quebec",3,2
"data.Peterborough, Ontario",3,2
data.Prairies,120,1
data.Prince Edward Island,758,21
"data.Qu�bec, Quebec",1,1
"data.Quebec, Quebec",2,1
data.Quebec,880,22
"data.Regina, Saskatchewan",3,2
"data.Saguenay, Quebec",3,2
"data.Saint John, New Brunswick",3,2
data.Saskatchewan,758,21
"data.Saskatoon, Saskatchewan",3,2
"data.Sherbrooke, Quebec",3,2
"data.St. Catharines - Niagara, Ontario",3,2
"data.St. John's, Newfoundland and Labrador",3,2
data.Territories,45,1
"data.Thunder Bay, Ontario",3,2
"data.Toronto, Ontario",3,2
"data.Total, Organisation for Economic Co-operation and Development (OECD)",1,1
"data.Trois-Rivieres, Quebec",2,1
"data.Trois-Rivi�res, Quebec",1,1
"data.Vancouver, British Columbia",3,2
"data.Victoria, British Columbia",3,2
"data.Windsor, Ontario",3,2
"data.Winnipeg, Manitoba",3,2
data.Yukon,407,13
