Value,Disaggregation combinations using this value,Number of indicators
"data.Abbotsford - Mission, British Columbia",3,2
data.Alberta,192,14
data.Atlantic,120,1
"data.Barrie, Ontario",3,2
"data.Belleville, Ontario",3,2
"data.Brantford, Ontario",3,2
data.British Columbia,314,15
"data.Calgary, Alberta",3,2
data.Canada,658,14
"data.Edmonton, Alberta",3,2
"data.Greater Sudbury / Grand Sudbury, Ontario",3,2
"data.Guelph, Ontario",3,2
"data.Halifax, Nova Scotia",3,2
"data.Hamilton, Ontario",3,2
"data.Kelowna, British Columbia",3,2
"data.Kingston, Ontario",3,2
"data.Kitchener - Cambridge - Waterloo, Ontario",3,2
"data.Lethbridge, Alberta",3,2
"data.London, Ontario",3,2
data.Manitoba,192,14
"data.Moncton, New Brunswick",3,2
"data.Montr�al, Quebec",1,1
"data.Montreal, Quebec",2,1
data.National marine,1,1
data.National terrestrial,1,1
data.New Brunswick,192,14
data.Newfoundland and Labrador,192,14
data.Northwest Territories,18,8
data.Nova Scotia,192,14
data.Nunavut,16,7
data.Ontario,313,15
"data.Oshawa, Ontario",3,2
"data.Ottawa - Gatineau (Ontario part), Ontario",3,2
"data.Ottawa - Gatineau (Quebec part), Quebec",3,2
"data.Peterborough, Ontario",3,2
data.Prairies,120,1
data.Prince Edward Island,192,14
"data.Qu�bec, Quebec",1,1
"data.Quebec, Quebec",2,1
data.Quebec,314,15
"data.Regina, Saskatchewan",3,2
"data.Saguenay, Quebec",3,2
"data.Saint John, New Brunswick",3,2
data.Saskatchewan,192,14
"data.Saskatoon, Saskatchewan",3,2
"data.Sherbrooke, Quebec",3,2
"data.St. Catharines - Niagara, Ontario",3,2
"data.St. John's, Newfoundland and Labrador",3,2
"data.Thunder Bay, Ontario",3,2
"data.Toronto, Ontario",3,2
"data.Total, Organisation for Economic Co-operation and Development (OECD)",1,1
"data.Trois-Rivieres, Quebec",2,1
"data.Trois-Rivi�res, Quebec",1,1
"data.Vancouver, British Columbia",3,2
"data.Victoria, British Columbia",3,2
"data.Windsor, Ontario",3,2
"data.Winnipeg, Manitoba",3,2
data.Yukon,18,8
