Indicator,Disaggregation combinations using this value
#10-6-1,1
#10-7-1,1
#10-7-2,1
#10-a-1,1
#10-b-1,1
#10-c-1,1
#11-6-1,1
#11-6-2,1
#11-7-1,1
#11-7-2,1
#11-a-1,1
#11-b-1,1
#11-b-2,1
#11-c-1,1
#12-6-1,1
#12-7-1,1
#12-8-1,1
#12-a-1,1
#12-b-1,1
#12-c-1,1
#13-a-1,1
#13-b-1,1
#14-5-1,1
#14-6-1,1
#14-7-1,1
#14-a-1,1
#14-b-1,1
#14-c-1,1
#15-7-1,1
#15-8-1,1
#15-9-1,1
#15-a-1,1
#15-b-1,1
#15-c-1,1
#16-7-1,1
#16-7-2,1
#16-8-1,1
#16-9-1,1
#16-a-1,1
#16-b-1,1
#17-10-1,1
#17-11-1,1
#17-12-1,1
#17-13-1,1
#17-14-1,1
#17-15-1,1
#17-16-1,1
#17-17-1,1
#17-18-1,1
#17-18-2,1
#17-18-3,1
#17-19-1,1
#17-19-2,1
#17-6-2,1
#17-7-1,1
#17-8-1,1
#3-a-1,1
#3-b-1,1
#3-b-2,1
#3-b-3,1
#3-c-1,1
#3-d-1,1
#4-5-1,1
#4-6-1,1
#4-7-1,1
#4-a-1,1
#4-b-1,1
#4-c-1,1
#5-6-1,1
#5-6-2,1
#5-a-1,1
#5-a-2,1
#5-b-1,1
#5-c-1,1
#7-3-1,1
#8-6-1,1
#8-7-1,1
#8-8-1,1
#8-8-2,1
#8-9-1,1
#8-9-2,1
#8-a-1,1
#8-b-1,1
